swizzle,swizzle_n_maj,denoise_dtype,skip_denoising,pipeline_stages,median_ms,mean_ms,min_ms,max_ms,tops
,True,fp16,False,,18.71726417541504,18.583091259002686,15.158559799194336,22.26131248474121,22.02869268456309
,True,fp16,False,1,19.443920135498047,18.834862422943115,15.053824424743652,22.00339126586914,21.20543890031971
,True,fp16,False,2,19.252256393432617,18.547753763198852,14.609824180603027,24.122783660888672,21.416547338142177
,True,fp16,True,,16.880383491516113,16.833873653411864,12.229727745056152,18.801855087280273,24.425799367841712
,True,fp16,True,1,16.871520042419434,17.17313117980957,13.931072235107422,18.673599243164062,24.438631455809972
,True,fp16,True,2,16.21996784210205,16.6256094455719,14.914719581604004,18.50579261779785,25.420325393355725
,True,int32,False,,16.060768127441406,15.959443187713623,12.817119598388672,18.30121612548828,25.672300175451504
,True,int32,False,1,16.5490083694458,16.735892677307127,14.217727661132812,20.57200050354004,24.914898295492723
,True,int32,False,2,16.856911659240723,17.046927881240844,14.591391563415527,19.394527435302734,24.4598102399127
,True,int32,True,,17.778976440429688,18.037048006057738,14.759903907775879,20.231103897094727,23.19125973294979
,True,int32,True,1,19.659456253051758,19.683686447143554,17.08905601501465,22.960927963256836,20.97295342804792
,True,int32,True,2,19.843520164489746,19.71092472076416,11.95206356048584,22.688159942626953,20.778413154428453
,False,fp16,False,,19.944719314575195,19.73685927391052,14.612383842468262,22.79257583618164,20.67298385666863
,False,fp16,False,1,19.56443214416504,19.59572639465332,16.82534408569336,22.175872802734375,21.07481870047379
,False,fp16,False,2,19.52190399169922,18.988761854171752,15.325920104980469,22.499263763427734,21.120729852545047
,False,fp16,True,,18.46720027923584,18.56983528137207,16.851551055908203,21.82080078125,22.326982660149145
,False,fp16,True,1,18.807168006896973,18.601134538650513,14.733920097351074,21.768192291259766,21.92338901129585
,False,fp16,True,2,16.330336570739746,16.383800077438355,13.7107515335083,18.624256134033203,25.248521892364312
,False,int32,False,,16.962303161621094,16.93474702835083,14.476639747619629,18.502304077148438,24.307834642933877
,False,int32,False,1,16.468416213989258,16.888251113891602,15.595744132995605,19.369279861450195,25.036825342424454
,False,int32,False,2,18.34231948852539,17.93670072555542,16.02422332763672,20.654016494750977,22.478992401911746
,False,int32,True,,18.29372787475586,17.978406190872192,15.673983573913574,20.7805118560791,22.538700872716607
,False,int32,True,1,16.12492847442627,16.125310468673707,13.527104377746582,18.005023956298828,25.570151276635066
