tile_m,tile_n,tile_k,R,stages,median_ms,mean_ms,min_ms,max_ms,tops
64,64,64,64,2,22.712207794189453,22.65994882583618,20.074783325195312,26.035648345947266,18.153975348952407
64,64,64,128,2,23.59812831878662,23.09908962249756,17.361408233642578,28.238143920898438,17.47243912084976
64,128,64,64,2,17.848383903503418,18.05257120132446,15.001567840576172,20.76915168762207,23.101075293156782
64,128,64,128,2,17.830751419067383,17.800639963150026,14.844223976135254,20.423391342163086,23.123919498708695
128,128,64,64,2,20.54713535308838,20.323729515075684,17.87923240661621,23.41529655456543,20.06687809909355
128,128,64,64,3,40.97928047180176,40.946044731140134,34.672000885009766,47.1297607421875,10.061593460620161
128,128,64,128,2,20.36944007873535,20.369068765640257,15.435839653015137,25.631263732910156,20.24193393742019
128,128,64,128,3,42.50467300415039,42.49075355529785,37.862430572509766,49.44655990600586,9.700506586081467
